Processador,Processador (score),Placa de Vídeo,Placa de video (score),Memória de Vídeo (GB),RAM (GB),SSD (GB),HD (GB),Fonte (W),Preco (R$)
Intel Core i5 12° Gen,27730.00,GeForce GTX 1650,7820.00,4,8,120,0,400,3557.49
Intel Core i5 12° Gen,27730.00,GeForce GTX 1660 Super,12772.00,6,8,480,0,750,5917.55
Intel Core i5 12° Gen,27730.00,GeForce RTX 3050,12709.00,8,16,480,0,600,5352.93
Intel Core i5 12° Gen,27730.00,GeForce RTX 3060,17064.00,12,16,480,0,650,6976.28
Intel Core i5 12° Gen,27730.00,Radeon RX 550,2724.00,4,8,240,0,400,3783.83
Intel Core i5 12° Gen,27730.00,Radeon RX 6400,6941.00,4,8,240,0,400,3976.95
Intel Core i5 12° Gen,27730.00,Radeon RX 6600,14496.00,8,8,240,0,500,5258.67
Intel Core i5 12° Gen,27730.00,Radeon RX 6700 XT,19300.00,12,16,480,0,650,6600.00
Intel Core i5 1º Gen,2222.00,GeForce GT 210,98.00,1,8,0,500,400,1339.00
Intel Core i5 1º Gen,2222.00,GeForce GT 220,213.00,1,4,240,0,350,1609.59
Intel Core i5 1º Gen,2222.00,GeForce GT 610,302.00,2,4,240,0,350,1985.60
Intel Core i5 1º Gen,2222.00,GeForce GT 730,821.00,2,8,0,1024,350,2486.90
Intel Core i5 1º Gen,2222.00,Intel HD Graphics 2000,213.00,0,4,240,0,350,1389.00
Intel Core i5 1º Gen,2222.00,Radeon HD 6570,504.00,4,4,240,0,350,2176.34
Intel Core i5 1º Gen,2222.00,Radeon R5 220,134.00,2,4,240,0,350,1639.00
Intel Core i5 2º Gen,2239.00,GeForce GT 210,98.00,1,4,240,0,350,1403.38
Intel Core i5 2º Gen,2239.00,GeForce GT 220,213.00,1,4,240,0,350,1589.75
Intel Core i5 2º Gen,2239.00,GeForce GT 610,302.00,2,4,240,0,350,2036.00
Intel Core i5 2º Gen,2239.00,GeForce GTX 1050 Ti,6297.00,4,8,0,1024,400,2757.00
Intel Core i5 2º Gen,2239.00,Intel HD Graphics 2000,213.00,0,8,0,1024,200,1636.00
Intel Core i5 2º Gen,2239.00,Intel HD Graphics 2000,213.00,0,8,240,0,350,1470.00
Intel Core i5 2º Gen,2239.00,Radeon HD 6570,504.00,4,4,240,0,350,2225.66
Intel Core i5 3º Gen,4670.00,GeForce GT 1030,2519.00,2,8,120,0,500,1443.00
Intel Core i5 3º Gen,4670.00,GeForce GT 1030,2519.00,2,8,120,0,500,1443.00
Intel Core i5 3º Gen,4670.00,GeForce GT 730,821.00,4,8,0,1024,500,3048.27
Intel Core i5 3º Gen,4670.00,GeForce GTX 1050,5062.00,2,8,240,0,500,3299.99
Intel Core i5 3º Gen,4670.00,GeForce GTX 1050,5062.00,2,8,0,1024,500,2667.36
Intel Core i5 3º Gen,4670.00,Intel HD Graphics 2500,213.00,0,8,0,500,200,1497.00
Intel Core i5 3º Gen,4670.00,Radeon RX 560,3616.00,4,8,240,0,500,1424.00
Intel Core i5 8° Gen,5902.00,GeForce GTX 1650,7820.00,4,8,120,0,500,3635.18
Intel Core i5 8° Gen,5902.00,Radeon RX 550,2724.00,4,8,240,0,500,3093.96
Intel Core i5 8° Gen,5902.00,Radeon RX 6400,6941.00,4,8,240,0,500,3493.87
Intel Core i5 8° Gen,5902.00,Radeon RX 6500 XT,9278.00,4,8,240,0,500,3670.44
Intel Core i7 10° Gen,19176.00,GeForce GTX 1060,10066.00,3,16,0,1024,400,5543.86
Intel Core i7 10° Gen,19176.00,GeForce GTX 1660 Super,12772.00,6,8,480,0,500,4499.98
Intel Core i7 10° Gen,19176.00,GeForce RTX 3050,12709.00,8,16,240,0,750,6960.00
Intel Core i7 10° Gen,19176.00,GeForce RTX 3060,17064.00,12,8,240,0,650,8186.85
Intel Core i7 10° Gen,19176.00,GeForce RTX 3060 TI,20438.00,8,16,512,0,650,7829.13
Intel Core i7 10° Gen,19176.00,GeForce RTX 3090,26717.00,24,32,480,1000,850,6524.00
Intel Core i7 11° Gen,10715.00,GeForce GTX 1660 Super,12772.00,6,16,240,0,600,4832.00
Intel Core i7 11° Gen,10715.00,GeForce RTX 2060,13985.00,6,16,240,0,600,5113.00
Intel Core i7 11° Gen,10715.00,GeForce RTX 3060,17064.00,12,16,240,0,650,5255.00
Intel Core i7 11° Gen,10715.00,GeForce RTX 3060 TI,20438.00,8,16,240,0,650,4998.00
Intel Core i7 11° Gen,10715.00,GeForce RTX 3090,26717.00,24,32,480,1000,850,7620.17
Intel Core i7 11° Gen,10715.00,Radeon RX 6650 XT,17705.00,8,16,240,0,650,7555.00
Intel Core i7 12° Gen,31309.00,GeForce RTX 3060 TI,20438.00,8,16,480,0,650,6893.00
Intel Core i7 12° Gen,31309.00,GeForce RTX 3070 TI,23677.00,8,16,480,0,750,5332.00
Intel Core i7 12° Gen,31309.00,GeForce RTX 3080,27295.00,12,16,0,1000,750,6241.00
Intel Core i7 12° Gen,31309.00,GeForce RTX 3080,27295.00,10,16,480,1000,750,7544.00
Intel Core i7 1º Gen,8528.00,GeForce GT 1030,2519.00,2,4,240,0,500,3030.32
Intel Core i7 1º Gen,8528.00,GeForce GT 610,302.00,2,8,240,0,450,2235.64
Intel Core i7 1º Gen,8528.00,GeForce GT 730,821.00,4,16,120,0,500,2420.00
Intel Core i7 1º Gen,8528.00,GeForce GT 730,821.00,4,16,0,1024,500,2705.36
Intel Core i7 1º Gen,8528.00,GeForce GTX 1050 Ti,6297.00,4,8,240,0,550,3455.67
Intel Core i7 1º Gen,8528.00,GeForce GTX 1650,7820.00,4,8,240,0,550,3516.00
Intel Core i7 1º Gen,8528.00,Radeon RX 550,2724.00,4,8,240,0,500,1854.90
Intel Core i7 2º Gen,5347.00,GeForce GT 1030,2519.00,2,4,240,0,500,2879.55
Intel Core i7 2º Gen,5347.00,GeForce GT 610,302.00,2,8,240,0,450,2089.74
Intel Core i7 2º Gen,5347.00,GeForce GTX 1050 Ti,6297.00,4,16,480,0,500,3869.00
Intel Core i7 2º Gen,5347.00,GeForce GTX 1650,7820.00,4,8,240,0,550,3326.45
Intel Core i7 2º Gen,5347.00,Intel HD Graphics 2000,213.00,0,16,0,3072,400,1780.00
Intel Core i7 2º Gen,5347.00,Intel HD Graphics 2000,213.00,0,16,240,0,600,2726.00
Intel Core i7 2º Gen,5347.00,Radeon RX 550,2724.00,4,8,240,0,500,1643.22
Intel Core i7 3° Gen,6397.00,GeForce GTX 1650,7820.00,4,16,240,0,500,3299.00
Intel Core i7 3° Gen,6397.00,GeForce GTX 1650,7820.00,4,16,480,0,500,3949.99
Intel Core i7 3° Gen,6397.00,GeForce RTX 3060,17064.00,12,16,480,0,750,5632.55
Intel Core i7 3° Gen,6397.00,Intel HD Graphics 2000,213.00,0,16,480,0,500,2850.00
Intel Core i7 3º Gen,6397.00,GeForce GTX 1050,5062.00,2,8,240,0,500,3469.99
Intel Core i9 10° Gen,23497.00,GeForce RTX 2060,13985.00,6,16,0,1000,600,5272.73
Intel Core i9 10° Gen,23497.00,GeForce RTX 3070 TI,23677.00,8,16,240,1000,650,8709.86
Intel Core i9 10° Gen,23497.00,GeForce RTX 3070 TI,23677.00,8,16,480,0,750,5520.25
Intel Core i9 10° Gen,23497.00,GeForce RTX 3080,27295.00,10,16,240,1000,750,9709.44
Intel Core i9 10° Gen,23497.00,Radeon RX 6800 XT,24138.00,16,16,120,0,750,4934.67
Intel Core i9 11° Gen,25551.00,GeForce RTX 2060,13985.00,6,16,480,0,750,4691.00
Intel Core i9 11° Gen,25551.00,GeForce RTX 2060,13985.00,6,16,480,0,750,5594.98
Intel Core i9 11° Gen,25551.00,GeForce RTX 3070 TI,23677.00,8,16,480,0,750,5766.00
Intel Core i9 11° Gen,25551.00,GeForce RTX 3070 TI,23677.00,8,16,480,0,750,9392.50
Intel Core i9 11° Gen,25551.00,GeForce RTX 3080,27295.00,10,16,120,0,750,5627.00
Intel Core i9 11° Gen,25551.00,Radeon RX 6800 XT,24138.00,16,16,120,0,750,5061.00
